Epoch,loss,recall,ndcg,Training Time,k
0,84.42071161,0.042033553,0.241239488,11.10802937,10
1,58.07872358,0.063396342,0.310759217,10.77211857,10
2,51.6833629,0.080086321,0.356948584,10.66465187,10
3,47.55955547,0.099034868,0.399943262,10.77975082,10
4,45.66385244,0.115641721,0.454620212,11.10588574,10
5,43.84771286,0.131218374,0.493817836,10.79251766,10
6,43.11459462,0.144881979,0.521654427,10.82387996,10
7,41.49537273,0.154956281,0.55159837,10.91683292,10
8,40.00683314,0.16098775,0.564038992,10.77880549,10
9,38.70609184,0.168262094,0.575676978,10.69817185,10
10,37.88345529,0.171044111,0.583935261,10.76540041,10
11,36.48124726,0.17635861,0.595219374,10.98487496,10
12,35.64420348,0.179279923,0.606767595,10.89258456,10
13,34.61310703,0.183785126,0.609299362,11.24900389,10
14,33.73995402,0.184989378,0.608181,10.8259995,10
15,33.19147345,0.188376829,0.615291476,10.76265836,10
16,32.36205393,0.189921662,0.620401323,10.84026718,10
17,31.53545333,0.189990684,0.620220959,10.7752862,10
18,31.04276823,0.1934212,0.622412562,10.57844901,10
19,30.59785442,0.194640666,0.631667018,10.70907903,10
20,30.16713853,0.195842937,0.629310906,11.04288292,10
21,30.06354252,0.196731523,0.632104158,10.65651989,10
22,29.40598148,0.196372434,0.633278251,10.85293269,10
23,29.19874239,0.198322415,0.636593103,10.81945586,10
24,28.56037836,0.20078361,0.639740348,11.01913762,10
25,28.21613565,0.200408131,0.641561449,11.5068171,10
26,27.78513433,0.195963413,0.640793264,12.13022423,10
27,27.68146302,0.20031774,0.644757032,11.72961283,10
28,27.20113651,0.202083588,0.6440593,11.38622522,10
29,26.75565941,0.204702839,0.646872342,11.44210553,10
30,26.38106602,0.203278765,0.645397484,10.91097212,10
31,26.10590479,0.203725606,0.644497335,10.99346614,10
32,25.4366612,0.203778267,0.647666514,10.83626866,10
33,25.31360148,0.203587443,0.649344921,10.6838274,10
34,25.19265518,0.206392348,0.648723602,10.79349995,10
35,24.68033285,0.211446807,0.653942168,10.77261877,10
36,24.54321714,0.210133195,0.653787017,10.70150399,10
37,24.12988672,0.209413499,0.654119551,10.70962167,10
38,24.33820463,0.210240647,0.657661259,13.23521948,10
39,23.65185539,0.212355375,0.659229755,12.54491496,10
40,23.34270553,0.213257968,0.664799988,12.36254311,10
41,23.21310934,0.215395838,0.658988893,12.44029856,10
42,22.82397466,0.217274278,0.662415922,14.74920201,10
43,22.78740489,0.217023015,0.660929799,13.48615885,10
44,22.07683054,0.216802254,0.662323952,13.60213113,10
45,22.39614078,0.216375977,0.667396963,12.61885548,10
46,22.23041643,0.220133573,0.670980096,13.29024172,10
47,21.67903233,0.22014378,0.671453297,13.5673728,10
48,21.9574535,0.219932944,0.670662642,13.17976713,10
49,21.22574986,0.219773844,0.669029772,14.14408445,10
50,21.18368228,0.221818671,0.673741579,13.45155454,10
51,21.15316415,0.221489981,0.671606243,12.99369812,10
52,20.93658317,0.219413593,0.668423176,12.51554036,10
53,20.82125058,0.221297681,0.672018707,13.05742407,10
54,20.38321919,0.216525048,0.670884788,12.53623533,10
55,20.53027928,0.217426896,0.670499086,12.73547339,10
0,86.59999022,0.094767794,0.299066484,12.26488543,20
1,61.02246448,0.123828486,0.351987451,12.21567893,20
2,54.30223075,0.173561692,0.41713506,12.16330767,20
3,48.30935511,0.20235686,0.480453938,12.0209198,20
4,45.36570126,0.218856663,0.505182564,12.05026078,20
5,43.42090301,0.235220209,0.534019232,12.16728234,20
6,42.24258427,0.248071745,0.5502671,12.05224252,20
7,41.1120899,0.259056091,0.568952441,12.17222905,20
8,39.53491649,0.268123716,0.5810588,12.04720664,20
9,38.27941699,0.274919271,0.589563012,12.06600547,20
10,37.41872996,0.277871192,0.592437625,12.20852065,20
11,36.90537518,0.281683356,0.595197737,12.17077231,20
12,35.12441395,0.28521961,0.602605343,12.48306847,20
13,34.7509003,0.289351374,0.607203901,12.25985861,20
14,33.51783159,0.293102652,0.612857521,12.27034569,20
15,32.99362241,0.292325526,0.615161479,12.40300798,20
16,31.90079792,0.293784738,0.61902231,12.22821212,20
17,32.04753411,0.295902878,0.62106061,12.58433199,20
18,30.93532978,0.296242863,0.622187734,12.3373518,20
19,30.57299531,0.298298627,0.624870121,12.35311341,20
20,30.05102052,0.29916501,0.627940118,12.30990052,20
21,29.64429286,0.298842371,0.627951682,12.54800653,20
22,29.10488348,0.297427684,0.628266573,12.18919969,20
23,28.73337434,0.30011481,0.627942383,12.40301585,20
24,28.29404187,0.302895933,0.628609419,12.6513238,20
25,28.10391769,0.300916404,0.631253004,12.55789042,20
26,28.06227395,0.30502373,0.63206619,12.63997388,20
27,27.35353537,0.307372659,0.634691179,12.51897597,20
28,27.52497645,0.308656335,0.635469437,12.75892472,20
29,26.97994851,0.309725255,0.636072874,12.59600854,20
30,26.87235449,0.31014967,0.639305055,12.61812401,20
31,26.06663359,0.3124533,0.639500201,12.7183876,20
32,26.03499344,0.313371807,0.639242113,13.91620231,20
33,25.78397334,0.315690994,0.640978932,14.15102196,20
34,24.97680552,0.320191413,0.643029511,12.93676949,20
35,25.29519856,0.321496308,0.643820405,12.466429,20
36,24.77336645,0.318094641,0.644625902,12.80790854,20
37,24.81877816,0.321828097,0.646066129,12.64826584,20
38,24.29122796,0.321306348,0.648589969,12.6781745,20
39,24.21133978,0.320365041,0.64833498,12.63560009,20
40,23.45908812,0.322099328,0.651303709,12.83699298,20
41,23.52841325,0.32246232,0.650279403,12.42577052,20
42,23.19432719,0.325051844,0.655390561,12.86485195,20
43,22.81124467,0.324787706,0.659126163,12.71682477,20
