Epoch,loss,recall,ndcg,precision,hit_ratio,training time,k
0,6.899891198,0.010597652,0.134227648,0.039660659,0.23966065,4.432837248,10
1,6.834862947,0.011380431,0.135409325,0.040933196,0.244962886,4.251857042,10
2,6.700907886,0.011757872,0.134587601,0.042948037,0.249204665,4.374790907,10
3,6.374686837,0.01154619,0.132026151,0.041675504,0.237539768,4.211561203,10
4,5.727447689,0.012367206,0.126156554,0.042311773,0.241781548,4.303345919,10
5,5.038693368,0.014542373,0.13116166,0.040933192,0.259809107,4.201830626,10
6,4.716450155,0.017469503,0.134172261,0.040296927,0.275715798,4.289806128,10
7,4.567496449,0.02017686,0.148021489,0.045174971,0.304347813,4.355175257,10
8,4.422306776,0.023551675,0.160916895,0.050265115,0.334040284,4.326080322,10
9,4.27194488,0.027908236,0.181420922,0.057370096,0.369035006,4.299238682,10
10,4.147610575,0.03561043,0.205152795,0.064262994,0.408271462,4.288167953,10
11,4.004482478,0.044607792,0.235509306,0.077412516,0.46871686,4.246354342,10
12,3.870686591,0.047816381,0.251547009,0.087486751,0.495227993,4.23687458,10
13,3.69364053,0.049907852,0.267311066,0.094803818,0.500530243,4.343498468,10
14,3.602196127,0.055879328,0.270496011,0.100636266,0.518557787,4.251456261,10
15,3.527708411,0.057079744,0.272110909,0.099151641,0.510074258,4.324255943,10
16,3.437383354,0.059792299,0.281348735,0.101484627,0.519618213,4.257543564,10
17,3.360406607,0.065634586,0.299246728,0.110710509,0.547189832,4.319527149,10
18,3.316330969,0.071992837,0.327926099,0.121845178,0.576882303,4.285677671,10
19,3.281011343,0.080226474,0.352784187,0.135630965,0.621420979,4.263033867,10
20,3.235628724,0.090564877,0.377517402,0.148356318,0.64581126,4.285825253,10
21,3.209253788,0.096140012,0.388096988,0.156945914,0.669141054,4.311052322,10
22,3.171994835,0.109234802,0.408990651,0.168822899,0.695652187,4.237657309,10
23,3.098629236,0.120742716,0.444410086,0.183563113,0.739130437,4.209100008,10
24,3.064049363,0.126683101,0.452669203,0.188123018,0.745493114,4.231611729,10
25,3.030665398,0.128309518,0.461238623,0.195227996,0.750795305,4.279388428,10
26,2.976931483,0.130156323,0.479241133,0.194803819,0.772004247,4.1924088,10
27,2.963287115,0.133496508,0.490492225,0.199469775,0.785790026,4.249680281,10
28,2.913652599,0.141389757,0.51225543,0.211770937,0.802757144,4.311841965,10
29,2.87338388,0.139906675,0.509214342,0.215800643,0.791092277,4.22044754,10
30,2.860138685,0.142334864,0.518338203,0.22089076,0.796394467,4.276657104,10
31,2.804514349,0.145335436,0.525304556,0.226723224,0.802757144,4.250023365,10
32,2.785452962,0.144605994,0.517830551,0.22841993,0.801696718,4.278254032,10
33,2.778676778,0.150418088,0.5299896,0.232131511,0.817603409,4.302690983,10
34,2.736421406,0.145088106,0.519382477,0.227041364,0.802757144,4.631794691,10
35,2.72915256,0.148286492,0.524270236,0.231283143,0.809119821,4.235780478,10
36,2.712372392,0.1494973,0.521556616,0.23170732,0.80381763,4.299793959,10
37,2.675781339,0.148356602,0.532129526,0.23138918,0.812301159,4.319431543,10
38,2.662263274,0.153025389,0.535880625,0.236055151,0.80381763,4.229738235,10
