Epoch,Loss,Recall,NDCG,Precision,Hit Ratio,Training Time,batch size,lr
0,107.7558206,0.023810817,0.158810318,0.044697776,0.34888652,9.407712698,512,0.0001
1,92.93180284,0.065122679,0.24718307,0.068610825,0.551431596,9.70445323,512,0.0001
2,74.23949528,0.082815558,0.28750962,0.088971362,0.615058303,11.90346336,512,0.0001
3,70.86422184,0.097625919,0.307376087,0.101643689,0.660657465,12.82170177,512,0.0001
4,67.34345594,0.108617924,0.326640785,0.10991516,0.699893951,12.09963417,512,0.0001
5,63.92899752,0.112792246,0.336587459,0.112089083,0.710498393,12.27017426,512,0.0001
6,61.84876525,0.121664062,0.349954069,0.11458113,0.735949099,12.12658548,512,0.0001
7,59.88568002,0.127935216,0.360916317,0.117391303,0.743372202,12.18540263,512,0.0001
8,58.28115526,0.139732316,0.38083601,0.12375398,0.772004247,13.39417553,512,0.0001
9,56.8214348,0.14715533,0.392419755,0.127571568,0.77942735,12.55441737,512,0.0001
10,55.34766623,0.157742292,0.404244184,0.132555678,0.790031791,12.24125242,512,0.0001
11,54.09774122,0.163138494,0.415398419,0.136532336,0.794273615,12.04879808,512,0.0001
12,53.31583947,0.172884375,0.431008428,0.139448583,0.810180247,12.14351439,512,0.0001
13,52.79896283,0.182910234,0.442105263,0.146977723,0.809119821,13.61209583,512,0.0001
14,51.47214061,0.188557789,0.449965209,0.151219502,0.820784748,14.03445411,512,0.0001
15,50.85059044,0.197636917,0.457651734,0.156574756,0.82820785,14.61888933,512,0.0001
16,49.81825477,0.207189381,0.471909136,0.162195101,0.84199363,14.46528411,512,0.0001
17,47.48975143,0.21056354,0.48186028,0.165853649,0.845174968,14.80646729,512,0.0001
18,47.28866151,0.213802844,0.488000035,0.169830322,0.845174968,14.28974414,512,0.0001
19,45.8009038,0.215571672,0.493378818,0.171474025,0.856839895,13.90085912,512,0.0001
20,45.56977597,0.219964802,0.499628931,0.174337208,0.86638391,13.91477895,512,0.0001
21,45.13578993,0.224032417,0.506004155,0.176352069,0.873807013,14.21297741,512,0.0001
22,44.72422959,0.226753458,0.509418428,0.179480389,0.875927866,14.15507126,512,0.0001
23,43.82711765,0.230322212,0.515645087,0.181972429,0.883351028,13.73409009,512,0.0001
24,43.95954075,0.23336786,0.5202474,0.184782609,0.884411454,13.69636011,512,0.0001
25,43.78011937,0.237379298,0.527207196,0.186108172,0.892895043,14.49904966,512,0.0001
26,42.81368072,0.239905819,0.529205441,0.188388139,0.895015895,14.44551921,512,0.0001
27,42.47390383,0.244129524,0.533602357,0.189766705,0.89925766,14.25214314,512,0.0001
28,42.70993836,0.246546432,0.536437571,0.191887602,0.892895043,13.94569159,512,0.0001
29,42.32229321,0.246867359,0.542077899,0.192099676,0.89925766,14.40645862,512,0.0001
30,42.08824603,0.249487475,0.547096491,0.195227981,0.902438998,14.97782278,512,0.0001
31,41.73911761,0.25112319,0.550186992,0.195599154,0.902438998,13.89040971,512,0.0001
32,41.3078084,0.251890719,0.553303003,0.196765661,0.905620337,14.00979257,512,0.0001
33,41.34723267,0.252272755,0.558664143,0.197667032,0.910922587,13.70829439,512,0.0001
34,40.58550158,0.255401373,0.562363744,0.198144212,0.913043499,14.19801831,512,0.0001
35,40.61985321,0.256181896,0.563752174,0.1997879,0.908801675,13.76816893,512,0.0001
36,40.30096155,0.25810945,0.569692433,0.202332973,0.917285264,13.55972385,512,0.0001
37,39.98886277,0.261157036,0.570469439,0.203393415,0.920466602,13.3881824,512,0.0001
38,39.74672626,0.262883157,0.571256995,0.204825014,0.919406176,13.65746522,512,0.0001
39,39.5013718,0.266307563,0.574885368,0.208324492,0.92364794,14.08531475,512,0.0001
40,39.50802679,0.268361002,0.57803601,0.209066823,0.924708366,13.77215719,512,0.0001
41,39.12327741,0.269942045,0.576432109,0.210816547,0.925768852,13.66499281,512,0.0001
42,38.70642866,0.271235436,0.579223871,0.211558864,0.925768852,13.87107968,512,0.0001
43,38.77541329,0.273659259,0.581963181,0.213997886,0.926829278,14.44690108,512,0.0001
44,38.75102003,0.27628392,0.585558653,0.214422077,0.925768852,14.2598846,512,0.0001
45,37.83739997,0.274240524,0.590025425,0.21558854,0.928950131,13.6534729,512,0.0001
46,37.92191675,0.276677728,0.591118932,0.217603385,0.930010617,13.35327721,512,0.0001
